DDMMYYYY,MaxTempNewcastleAirport,MaxTempSydneyAirport
19420101,,26.7
19420102,,33.1
19420103,,28.5
19420104,,42.8
19420105,,30.4
19420106,,25.8
19420107,,24.9
19420108,,39.7
19420109,,21.8
19420110,,24.8
19420111,,25.3
19420112,,30.4
19420113,,32.8
19420114,,25.6
19420115,,26.6
19420116,,22.2
19420117,,20.8
19420118,,23.2
19420119,,24.8
19420120,,33.1
19420121,,22.7
19420122,,21.8
19420123,,23.1
19420124,,25.6
19420125,,38.2
19420126,,20.9
19420127,,22.7
19420128,,24.4
19420129,,28.2
19420130,,22
19420131,,19.3
19420201,,20.9
19420202,,21.3
19420203,,19.5
19420204,,20.1
19420205,,20.4
19420206,,23.7
19420207,,26.6
19420208,,25.6
19420209,,25.3
19420210,,26.1
19420211,,25.6
19420212,,25.7
19420213,,25.3
19420214,,21.4
19420215,,21.9
19420216,,25
19420217,,24.4
19420218,,24.8
19420219,,24.4
19420220,,24.9
19420221,,24.7
19420222,,23.1
19420223,,32.1
19420224,,26.4
19420225,,24.3
19420226,,25.1
19420227,,26.7
19420228,,31.8
19420301,,23.5
19420302,,25.9
19420303,,32.3
19420304,,34.3
19420305,,37.1
19420306,,28.6
19420307,,24.3
19420308,,23.8
19420309,,22.8
19420310,,21.7
19420311,,28.9
19420312,,33.9
19420313,,19.6
19420314,,20.6
19420315,,23.2
19420316,,24.2
19420317,,29.1
19420318,,17.8
19420319,,17.4
19420320,,18.3
19420321,,20.7
19420322,,20.8
19420323,,20.8
19420324,,22.6
19420325,,19.6
19420326,,24.1
19420327,,20.8
19420328,,21.6
19420329,,22.4
19420330,,29.6
19420331,,26.3
19420401,,31.1
19420402,,27.5
19420403,,29
19420404,,18.7
19420405,,17.8
19420406,,21.7
19420407,,22.3
19420408,,20.9
19420409,,22.1
19420410,,23.7
19420411,,24.1
19420412,,28.3
19420413,,28.1
19420414,,16.9
19420415,,17.9
19420416,,23
19420417,,18.3
19420418,,18.7
19420419,,20.4
19420420,,25.4
19420421,,23.9
19420422,,24.1
19420423,,21.3
19420424,,21.4
19420425,,22.1
19420426,,21.8
19420427,,22.8
19420428,,23.3
19420429,,25.4
19420430,,29.3
19420501,,26.1
19420502,,27.1
19420503,,28.8
19420504,,29.2
19420505,,27.3
19420506,,23.7
19420507,,21.9
19420508,,17.1
19420509,,19.1
19420510,,18.3
19420511,,19.9
19420512,,25.8
19420513,,19.9
19420514,,18.6
19420515,,17.9
19420516,,19
19420517,,21.7
19420518,,22.6
19420519,,22.4
19420520,,22.5
19420521,,22.9
19420522,,17.8
19420523,,19.9
19420524,,17.9
19420525,,17.5
19420526,,19
19420527,,19.6
19420528,,21.2
19420529,,19.5
19420530,,20.4
19420531,,19
19420601,,16.2
19420602,,14.1
19420603,,15.7
19420604,,15.9
19420605,,20.8
19420606,,20.4
19420607,,20.5
19420608,,19.9
19420609,,18.4
19420610,,22.9
19420611,,18.1
19420612,,18.7
19420613,,21.3
19420614,,22.8
19420615,,21.1
19420616,,18.3
19420617,,19.4
19420618,,19.7
19420619,,19.8
19420620,,17.7
19420621,,15.7
19420622,,16.4
19420623,,14.6
19420624,,15.9
19420625,,18
19420626,,17.2
19420627,,19.6
19420628,,19.6
19420629,,17.3
19420630,,17.4
19420701,,24.2
19420702,,23
19420703,,19.7
19420704,,16.4
19420705,,14.4
19420706,,15.1
19420707,,18.1
19420708,,15.8
19420709,,15.2
19420710,,16.8
19420711,,15.2
19420712,,14.9
19420713,,18.5
19420714,,18
19420715,,16.1
19420716,,17.9
19420717,,15.6
19420718,,18.3
19420719,,20.9
19420720,,18.2
19420721,,17.6
19420722,,17.4
19420723,,15
19420724,,20.3
19420725,,14.9
19420726,,14.4
19420727,,13.7
19420728,,14.1
19420729,,13.4
19420730,,13.2
19420731,,14.4
19420801,,17.6
19420802,,17.7
19420803,,15.8
19420804,,14.8
19420805,,14.3
19420806,,14.1
19420807,,16.8
19420808,,17.9
19420809,,18.4
19420810,,17.4
19420811,,17.1
19420812,,16.1
19420813,,20.3
19420814,,19.9
19420815,,16.4
19420816,,22.3
19420817,,22.7
19420818,,25.8
19420819,,25.8
19420820,,27.3
19420821,,25.1
19420822,,23.8
19420823,,21
